,,,,,Population change (%),,,Net domestic migration (%),,,,
CBSA,NAME,State,2012 unemployment rate,2013 population,2000-2007,2007-2013,2012-2013,2000-2007,2008-2013 avg,2012-2013,Pop gain/loss,Domestic migration gain/loss
26820,Idaho Falls, ID,6,137073,0.167798121,0.149844812,0.005663935,0.072883299,0.003190057,-0.00596474,G,L
26900,Indianapolis-Carmel-Anderson, IN,7.8,1953961,0.108741369,0.150975816,0.012831179,0.037558551,0.004293631,0.006737483,G,G
26980,Iowa City, IA,3.9,161170,0.109742628,0.098726549,0.017680116,0.026561862,0.00911741,0.009724064,G,G
27060,Ithaca, NY,6,103617,0.038805322,0.031908219,0.008801223,-0.02262523,0.001314967,0.005413141,G,G
27100,Jackson, MI,8.5,160369,0.024966139,-0.014314866,0.000736345,0.002570322,-0.006229029,-0.001029635,G,L
27140,Jackson, MS,7.3,576382,0.071347431,0.079769427,-4.16E-05,0.023779132,-0.00050526,-0.004382328,L,L
27180,Jackson, TN,8.2,130645,0.04752698,0.159289758,0.002532326,0.01096848,-0.001512744,-0.000690634,G,L
27260,Jacksonville, FL,8.3,1394624,0.155273729,0.071883188,0.012034484,0.105496775,0.004910162,0.00760065,G,G
27340,Jacksonville, NC,8.7,185220,0.092399215,0.132061633,0.006624964,-0.007691589,-0.004438281,-0.013146668,G,L
27500,Janesville-Beloit, WI,8.4,160739,0.045574069,0.008090361,0.002669811,0.005075443,-0.003068486,-0.000280704,G,L
27620,Jefferson City, MO,5.6,150494,0.035240878,0.035996283,0.000964423,0.003513398,-0.000980669,-0.002208196,G,L
27740,Johnson City, TN,7.3,200966,0.062465314,0.039352079,0.002264204,0.062762035,0.005964689,0.002518553,G,G
27780,Johnstown, PA,8.8,140499,-0.047155807,-0.031448839,-0.007361824,-0.02859958,-0.003039908,-0.004451007,L,L
27860,Jonesboro, AR,6.9,125633,0.07517455,0.080583844,0.011619293,0.04389883,0.008163242,0.007182543,G,G
27900,Joplin, MO,6,175243,0.084302362,0.02472897,0.004309678,0.04390114,-0.002156942,0.000596019,G,G
27980,Kahului-Wailuku-Lahaina, HI,6.3,160292,0.102334685,0.129373635,0.013672295,0.022205135,0.002970787,0.008151521,G,G
28020,Kalamazoo-Portage, MI,7.6,332180,0.02272684,0.029804753,0.006066443,-0.018085086,0.000593454,0.002035272,G,G
28100,Kankakee, IL,11.1,112120,0.075530184,0.003535467,-0.006442351,0.01649034,-0.003992768,-0.009003341,L,L
28140,Kansas City, MO-KS,5.9,2054473,0.091665744,0.02118242,0.007741736,0.012532801,0.001057277,0.001908088,G,G
28420,Kennewick-Richland, WA,8.9,271124,0.18811686,0.184144094,0.011053103,0.071516787,0.013470286,0.00059293,G,G
28660,Killeen-Temple, TX,7.5,423257,0.119332454,0.138880592,0.006479887,0.027118685,-0.001356025,-0.005764127,G,L
28700,Kingsport-Bristol-Bristol, TN-VA,7.2,308283,0.017219657,0.015501833,-0.00091067,0.024725404,0.002406286,0.001124564,L,G
28740,Kingston, NY,8.8,180998,0.020800648,-0.002930645,-0.004153989,0.008733011,-0.003159677,-0.004159491,L,L
28940,Knoxville, TN,6.6,852715,0.104554441,0.250053141,0.005447503,0.07427462,0.006303671,0.004117463,G,G
29020,Kokomo, IN,9.2,82760,-0.01692144,-0.170824567,-0.001580389,-0.038462296,-0.004110183,-0.001906118,L,L
29100,La Crosse-Onalaska, WI-MN,6.3,135512,0.031412376,0.034363789,0.003651338,0.008864746,0.002401776,0.000740637,G,G
29180,Lafayette, LA,4.7,479116,0.074104899,0.865527633,0.010865758,0.01702585,0.003357186,0.005831642,G,G
29200,Lafayette-West Lafayette, IN,7.4,209027,0.070089016,0.092214924,0.010959514,-0.001951421,0.003964159,0.005160548,G,G
29340,Lake Charles, LA,5.9,202040,-0.009908871,0.054785796,0.005149126,-0.042716178,-0.000262859,0.0014328,G,G
29420,Lake Havasu City-Kingman, AZ,9.9,203030,0.253902199,0.036650124,-0.000551338,0.246750835,0.003369352,0.001654015,L,G
29460,Lakeland-Winter Haven, FL,9.8,623009,0.181518322,0.086360014,0.011241992,0.14309054,0.006045663,0.008502101,G,G
29540,Lancaster, PA,6.6,529600,0.058382681,0.060549018,0.006010227,0.018324863,0.001376729,0.000794019,G,G
29620,Lansing-East Lansing, MI,7.2,467321,0.01554589,0.025915665,0.002765904,-0.037673088,-0.005046999,-0.001017098,G,L
29700,Laredo, TX,7.1,262495,0.186738843,0.137090207,0.012669215,-0.035677015,-0.00260715,-0.00376913,G,L
29740,Las Cruces, NM,7.1,213460,0.132774771,0.076965768,-0.002299581,0.028221497,0.000880026,-0.01061453,L,L
29820,Las Vegas-Henderson-Paradise, NV,11.2,2027868,0.319559772,0.102920373,0.015122201,0.215039796,0.005110257,0.008524978,G,G
29940,Lawrence, KS,5.3,114322,0.130754275,0.008050507,0.011314279,0.019093674,0.003578026,0.005440408,G,G
30020,Lawton, OK,6.6,131089,-0.001499891,0.1448521,-0.012140166,-0.057989972,-0.011615319,-0.019472494,L,L
30140,Lebanon, PA,6.4,135486,0.064617659,0.056857805,0.000590816,0.048407188,0.003490015,-0.002267256,G,L
30300,Lewiston, ID-WA,5.9,62025,0.034217973,0.03487111,0.009242234,0.026452927,0.005485649,0.00898189,G,G
30340,Lewiston-Auburn, ME,7.4,107604,0.027444749,0.008519612,-0.000260146,0.010727527,-0.003934676,-0.004097294,L,L
30460,Lexington-Fayette, KY,6.6,489435,0.111889,0.074519421,0.009916864,0.029038999,0.005841307,0.004349719,G,G
30620,Lima, OH,7.8,105298,-0.033911418,0.003841937,-0.000294316,-0.055776085,-0.005805929,-0.002212116,L,L
30700,Lincoln, NE,3.5,314125,0.085290441,0.080176336,0.012114768,0.011285477,0.003572991,0.004723471,G,G
30780,Little Rock-North Little Rock-Conway, AR,6.5,724385,0.088770871,0.086865519,0.009112008,0.04119912,0.005612914,0.004007835,G,G
30860,Logan, UT-ID,4.5,129763,0.170674288,0.073868103,0.009561672,-0.043615578,-0.000715416,-0.006216254,G,L
30980,Longview, TX,5.8,216530,0.045837843,0.06716017,-0.001056473,0.009308799,0.000584912,-0.005014786,L,L
31020,Longview, WA,10.9,101860,0.081118565,0.012957825,0.000324079,0.05256311,-0.001534419,-0.002189989,G,L
31080,Los Angeles-Long Beach-Anaheim, CA,10.1,13131431,0.023683699,0.034573523,0.007239831,-0.092624456,-0.00275433,0.000464062,G,G
31140,Louisville/Jefferson County, KY-IN,7.8,1262261,0.061705455,0.020398908,0.008567858,0.021197598,0.002993378,0.005013032,G,G
31180,Lubbock, TX,5.5,301038,0.076016471,0.11850162,0.010611763,0.007524087,0.004445187,0.004985279,G,G
